path,visitors,total,clicks,impressions,action,local,source_file,sources,initial_status,initial_redirect,final_status,final_url,curl_error
/,24.0,32.0,0.0,0.0,,source,,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/,
/conceptos-basicos/que-son-los-filtros-nd-cuando-y-como-usarlos/,11.0,16.0,12.0,820.0,rewrite_same,source,articles-editorial.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-son-los-filtros-nd-cuando-y-como-usarlos/,
/retrato/46-fotografos-de-retratos-famosos-que-deberias-conocer/,10.0,14.0,4.0,15.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/retrato/46-fotografos-de-retratos-famosos-que-deberias-conocer/,
/composicion/pie-de-foto-ejemplos/,9.0,11.0,16.0,771.0,rewrite_same,source,articles-editorial.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/composicion/pie-de-foto-ejemplos/,
/guias/,9.0,11.0,0.0,0.0,,source,,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/guias/,
/conceptos-basicos/comprender-la-resolucion-de-la-camara-y-los-megapixeles-guia-facil/,8.0,9.0,4.0,244.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/comprender-la-resolucion-de-la-camara-y-los-megapixeles-guia-facil/,
/post-produccion/como-abrir-imagenes-sin-procesar-en-gimp-rawtherapee-y-darktable/,8.0,8.0,2.0,4.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/post-produccion/como-abrir-imagenes-sin-procesar-en-gimp-rawtherapee-y-darktable/,
/inspiracion/que-es-un-ensayo-fotografico-17-ejemplos-e-ideas/,7.0,8.0,31.0,498.0,rewrite_same,source,articles-editorial.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/inspiracion/que-es-un-ensayo-fotografico-17-ejemplos-e-ideas/,
/documentos-de-identidad/tamano-carnet-medidas/,7.0,7.0,15.0,3837.0,rewrite_same,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/documentos-de-identidad/tamano-carnet-medidas/,
/conceptos-basicos/que-es-el-valor-de-exposicion-y-como-usar-ev-en-fotografia/,7.0,9.0,4.0,27.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-es-el-valor-de-exposicion-y-como-usar-ev-en-fotografia/,
/composicion/,7.0,8.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/composicion/,
/conceptos-basicos/,7.0,11.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/,
/retrato/fotografia-de-desnudo-artistico/,7.0,7.0,0.0,0.0,,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/retrato/fotografia-de-desnudo-artistico/,
/post-produccion/que-es-adobe-camera-raw-y-como-empezar/,6.0,7.0,7.0,448.0,rewrite_same,source,articles-workflow.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/post-produccion/que-es-adobe-camera-raw-y-como-empezar/,
/conceptos-basicos/guia-para-principiantes-de-lentes-de-camara-partes-funciones-y-tipos/,6.0,9.0,5.0,58.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/guia-para-principiantes-de-lentes-de-camara-partes-funciones-y-tipos/,
/post-produccion/que-es-un-archivo-cr3-y-como-abrir-uno/,6.0,6.0,4.0,114.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/post-produccion/que-es-un-archivo-cr3-y-como-abrir-uno/,
/paisaje-naturaleza/que-es-un-filtro-cpl-como-cuando-y-por-que-usar-uno/,6.0,6.0,1.0,17.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/paisaje-naturaleza/que-es-un-filtro-cpl-como-cuando-y-por-que-usar-uno/,
/software/capture-one-gratis/,5.0,5.0,7.0,64.0,rewrite_same,source,articles-workflow.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/software/capture-one-gratis/,
/conceptos-basicos/que-es-un-archivo-arw-y-como-abrir-uno/,5.0,5.0,3.0,80.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-es-un-archivo-arw-y-como-abrir-uno/,
/post-produccion/,5.0,5.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/post-produccion/,
/conceptos-basicos/como-tomar-buenas-fotografias-10-pasos-infalibles/,4.0,4.0,3.0,40.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/como-tomar-buenas-fotografias-10-pasos-infalibles/,
/accesorios-de-fotografia/registrar-dron-dji/,4.0,5.0,2.0,48.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/accesorios-de-fotografia/registrar-dron-dji/,
/conceptos-basicos/que-es-la-exposicion/,4.0,4.0,2.0,27.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-es-la-exposicion/,
/post-produccion/la-mejor-configuracion-de-exportacion-de-lightroom-para-impresion-instagram-y-mas/,4.0,8.0,1.0,7.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/post-produccion/la-mejor-configuracion-de-exportacion-de-lightroom-para-impresion-instagram-y-mas/,
/documentos-de-identidad/,4.0,4.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/documentos-de-identidad/,
/paisaje-naturaleza/,4.0,4.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/paisaje-naturaleza/,
/edicion-digital/digitalizar-imagenes/,3.0,4.0,9.0,364.0,rewrite_same,source,articles-workflow.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/edicion-digital/digitalizar-imagenes/,
/consejos/como-utilizar-d-lighting-activo-de-nikon/,3.0,3.0,4.0,8.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/consejos/como-utilizar-d-lighting-activo-de-nikon/,
/localizaciones/los-20-fotografos-callejeros-mas-famosos-que-deberias-conocer/,3.0,3.0,4.0,14.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/localizaciones/los-20-fotografos-callejeros-mas-famosos-que-deberias-conocer/,
/consejos/explicacion-del-boton-af-on/,3.0,3.0,3.0,9.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/consejos/explicacion-del-boton-af-on/,
/composicion/los-10-elementos-de-la-composicion-en-fotografia/,3.0,3.0,2.0,33.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/composicion/los-10-elementos-de-la-composicion-en-fotografia/,
/conceptos-basicos/que-es-una-lente-gran-angular-y-cuando-usar-una/,3.0,3.0,2.0,200.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-es-una-lente-gran-angular-y-cuando-usar-una/,
/tutoriales-de-fotografia/configuracion-recomendada-de-sony-a6400/,3.0,4.0,2.0,8.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/tutoriales-de-fotografia/configuracion-recomendada-de-sony-a6400/,
/conceptos-basicos/101-terminos-de-fotografia-que-debes-saber/,3.0,3.0,1.0,1.0,,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/101-terminos-de-fotografia-que-debes-saber/,
/paisaje-naturaleza/los-27-fotografos-de-paisajes-mas-influyentes-a-seguir/,3.0,4.0,1.0,9.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/paisaje-naturaleza/los-27-fotografos-de-paisajes-mas-influyentes-a-seguir/,
/post-produccion/una-guia-para-principiantes-para-editar-fotos-en-gimp/,3.0,3.0,1.0,22.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/post-produccion/una-guia-para-principiantes-para-editar-fotos-en-gimp/,
/accesorios-de-fotografia/,3.0,3.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/accesorios-de-fotografia/,
/inspiracion/,3.0,3.0,0.0,0.0,,source,categories.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv",200,,200,https://estudiodefotografia.info/inspiracion/,
/conceptos-basicos/que-tan-grande-es-una-foto-de-4-x-6-tamano-real-en-pixeles-pulgadas-cm-y-mm/,2.0,2.0,22.0,770.0,rewrite_same,source,articles-expansion-recovery.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/que-tan-grande-es-una-foto-de-4-x-6-tamano-real-en-pixeles-pulgadas-cm-y-mm/,
/retrato/las-25-mejores-poses-masculinas-guia-para-fotografiar-hombres/,2.0,2.0,8.0,324.0,rewrite_same,source,articles-workflow.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/retrato/las-25-mejores-poses-masculinas-guia-para-fotografiar-hombres/,
/retrato/cual-es-la-mejor-lente-para-retratos-las-30-mejores-selecciones/,2.0,2.0,4.0,6.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/retrato/cual-es-la-mejor-lente-para-retratos-las-30-mejores-selecciones/,
/tutoriales-de-fotografia/comprension-de-iso-velocidad-de-obturacion-y-apertura-una-guia-para-principiantes/,2.0,2.0,4.0,63.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/tutoriales-de-fotografia/comprension-de-iso-velocidad-de-obturacion-y-apertura-una-guia-para-principiantes/,
/inspiracion/12-increibles-juegos-de-fotografia-para-jugar/,2.0,2.0,3.0,15.0,rewrite_same,source,articles-expansion-a.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/inspiracion/12-increibles-juegos-de-fotografia-para-jugar/,
/conceptos-basicos/regla-de-la-mirada/,2.0,2.0,2.0,19.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/conceptos-basicos/regla-de-la-mirada/,
/equipo/que-es-el-boton-ae-l-y-af-l-en-una-nikon-dslr/,2.0,2.0,2.0,4.0,rewrite_same,source,articles-expansion-b.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv | urls-a-salvar.csv",200,,200,https://estudiodefotografia.info/equipo/que-es-el-boton-ae-l-y-af-l-en-una-nikon-dslr/,
/artesania/que-es-daguerrotipo/,2.0,2.0,1.0,60.0,,source,articles-expansion-c.ts,"Top Pages - Apr 18, 2_00 - Apr 25, 2_59.csv | estudiodefotografia.info_PageTrafficReport_4_13_2026.csv",200,,200,https://estudiodefotografia.info/artesania/que-es-daguerrotipo/,
